Current Assigned Rank,Preference,Start Date,Duration,Grade,Region,Sub-Region,Area(Sector),Dual Training Programme,Places Available,Description,Programme Name,Programme Number,Tags,rating,user_ratings_total,url,website,transit_time_london,
Bath,,,,,,,,,,,,,,,,,,,
X,South West - Severn - Bath - DFT - Sep - 14,01/09/2021 00:00,24,DFT,Health Education England South West,Health Education England South West - Severn,Bath,,0,"Bathampton Dental Practice, 29 Holcombe Lane, Bathampton, Bath. ",,,"Bath,Longitudinal",4.2,9,https://maps.google.com/?cid=17987611768459012753,https://www.nhs.uk/Services/dentists/Overview/DefaultView.aspx?id=35044,2 hours 13 mins,
Bristol,,,,,,,,,,,,,,,,,,,
X,South West - Severn - Bristol - DFT - Sep - 1,01/09/2021 00:00,12,DFT,Health Education England South West,Health Education England South West - Severn,Bristol,,0,"Keynsham Dental Care, 7 High Street, Keynsham, Bristol",,,Bristol,4.9,99,https://maps.google.com/?cid=10670997300733379726,http://www.keynshamdentalcare.co.uk/,2 hours 22 mins,
X,South West - Severn - Bristol - DFT - Sep - 17,01/09/2021 00:00,12,DFT,Health Education England South West,Health Education England South West - Severn,Bristol,,0,"Portishead Dental Practice, 52 Nore Road, Portishead, Bristol",,,Bristol,5,18,https://maps.google.com/?cid=784109246621728630,http://www.portisheaddentalpractice.co.uk/,3 hours 20 mins,
X,South West - Severn - Bristol - DFT - Sep - 19,01/09/2021 00:00,12,DFT,Health Education England South West,Health Education England South West - Severn,Bristol,,0,"My Dentist Filton Road Dental Practice, 114 Gloucester Road North, Filton, Bristol",,,Bristol,4.5,20,https://maps.google.com/?cid=6625351914320514777,https://www.mydentist.co.uk/dentists/practices/england/south-west-england/bristol/114-gloucester-road-north?utm_source=google&utm_medium=local&utm_content=69&utm_campaign=my-business,2 hours 14 mins,
X,South West - Severn - Bristol - DFT - Sep - 2,01/09/2021 00:00,12,DFT,Health Education England South West,Health Education England South West - Severn,Bristol,,0,"Oldland Dental Practice, 206 High Street, Oldland Common, Bristol",,,Bristol,4.4,17,https://maps.google.com/?cid=972077812240412002,http://www.oldlanddental.co.uk/,2 hours 35 mins,
X,South West - Severn - Bristol - DFT - Sep - 22,01/09/2021 00:00,12,DFT,Health Education England South West,Health Education England South West - Severn,Bristol,,0,"Yate Dental Surgery, 2A North Walk, Yate, Bristol",,,Bristol,3.3,13,https://maps.google.com/?cid=17075411440822371626,https://www.yatedental.co.uk/,2 hours 20 mins,
X,South West - Severn - Bristol - DFT - Sep - 23,01/09/2021 00:00,12,DFT,Health Education England South West,Health Education England South West - Severn,Bristol,,0,"Apple Dental Practice, 97 High Street, Winterbourne, Bristol",,,Bristol,3,23,https://maps.google.com/?cid=17103023284847550382,https://www.appledentalpractice.co.uk/,2 hours 25 mins,
X,South West - Severn - Bristol - DFT - Sep - 26,01/09/2021 00:00,12,DFT,Health Education England South West,Health Education England South West - Severn,Bristol,,0,"Redland Park Dental Surgery, 9 Redland Park, Redland, Bristol",,,Bristol,4.8,30,https://maps.google.com/?cid=2012683312644188788,,2 hours 29 mins,
X,South West - Severn - Bristol - DFT - Sep - 27,01/09/2021 00:00,12,DFT,Health Education England South West,Health Education England South West - Severn,Bristol,,0,"Ashley Down Dental Care, 382 Gloucester Road, Horfield, Bristol",,,Bristol,4,45,https://maps.google.com/?cid=16741226601272056149,http://ashleydowndentalcare.co.uk/,2 hours 17 mins,
X,South West - Severn - Bristol - DFT - Sep - 3,01/09/2021 00:00,12,DFT,Health Education England South West,Health Education England South West - Severn,Bristol,,0,"Purple Dental Care, 104 108 Gatcome Road, Hartcliffe, Bristol",,,Bristol,4.8,155,https://maps.google.com/?cid=217317888301457198,http://www.purpledentalcare.co.uk/,2 hours 51 mins,
X,South West - Severn - DFT - Sep - 54,01/09/2021 00:00,12,DFT,Health Education England South West,Health Education England South West - Severn,-,,0,"Millennium Dental Care, 130 Montreal Avenue, Horfield, Bristol",,,Bristol,4,23,https://maps.google.com/?cid=18239849080962309322,https://millenniumdentalcare.co.uk/,2 hours 10 mins,
Cornwall,,,,,,,,,,,,,,,,,,,
X,South West - Severn - DFT - Sep - 66,01/09/2021 00:00,12,DFT,Health Education England South West,Health Education England South West - Severn,-,,0,"Padstow Dental Practice, 18 Riverside, Padstow, Cornwall",,,Cornwall,3.7,3,https://maps.google.com/?cid=6250861455562397995,http://www.padstow-dental-practice.co.uk/,6 hours 18 mins,
X,South West - Severn - DFT - Sep - 67,01/09/2021 00:00,12,DFT,Health Education England South West,Health Education England South West - Severn,-,,0,"Gentle Dental, 55 Henver Road, Newquay, Cornwall",,,Cornwall,4.1,36,https://maps.google.com/?cid=17020494911560743168,http://www.gentledental.co.uk/,6 hours 44 mins,
X,South West - Severn - DFT - Sep - 68,01/09/2021 00:00,12,DFT,Health Education England South West,Health Education England South West - Severn,-,,0,"Truro Dental Health, 46 Lemon Street, Truro, Cornwall",,,Cornwall,4.4,12,https://maps.google.com/?cid=2215760443205742959,http://www.trurodentalhealth.com/,5 hours 17 mins,
X,South West - Severn - DFT - Sep - 72,01/09/2021 00:00,12,DFT,Health Education England South West,Health Education England South West - Severn,-,,0,"The Treatment Centre, 1st Floor Tinners Court Back Quay, Truro, Cornwall",,,Cornwall,4.8,91,https://maps.google.com/?cid=7585869147531031022,https://thetreatmentcentre.co.uk/,5 hours 17 mins,
X,South West - Severn - DFT - Sep - 73,01/09/2021 00:00,12,DFT,Health Education England South West,Health Education England South West - Severn,-,,0,"St Agnes Dental Practice, York House, 9 British Road, St Agnes, Cornwall",,,Cornwall,5,2,https://maps.google.com/?cid=3973968197258742422,http://stagnesdentalpractice.co.uk/,7 hours 34 mins,
Devon,,,,,,,,,,,,,,,,,,,
X,South West - Severn - DFT - Sep - 28,01/09/2021 00:00,12,DFT,Health Education England South West,Health Education England South West - Severn,-,,0,"Mr Mark Stewart & Mr Anthony Ihimekpen, Dunedin Dental Clinic, Unit 1A Silverdown Office Park, Exeter, Devon",,,Devon,4.6,50,https://maps.google.com/?cid=2713193476815787745,http://www.dunedinclinic.co.uk/,4 hours 5 mins,
X,South West - Severn - DFT - Sep - 29,01/09/2021 00:00,12,DFT,Health Education England South West,Health Education England South West - Severn,-,,0,"Avenue Dental Surgery, 156 Avenue Road, Torqauy, Devon",,,Devon,4.7,31,https://maps.google.com/?cid=17236070017423953572,https://www.avenuedental.co.uk/,3 hours 34 mins,
X,South West - Severn - DFT - Sep - 30,01/09/2021 00:00,12,DFT,Health Education England South West,Health Education England South West - Severn,-,,0,"Queen Annes Dental Practice, High Street, Bideford, Devon",,,Devon,4.2,10,https://maps.google.com/?cid=3801110594554847224,http://queenannesdental.co.uk/,4 hours 59 mins,
X,South West - Severn - DFT - Sep - 31,01/09/2021 00:00,12,DFT,Health Education England South West,Health Education England South West - Severn,-,,0,"Irish and King Dental Practice, 95 Pinhoe Road, Exeter, Devon",,,Devon,5,8,https://maps.google.com/?cid=1430459963105333663,http://www.irishandkingdental.co.uk/,3 hours 11 mins,
X,South West - Severn - DFT - Sep - 33,01/09/2021 00:00,12,DFT,Health Education England South West,Health Education England South West - Severn,-,,0,"Chulmleigh Dental Practice Ltd, South Molton Street, Chulmleigh,",,,Devon,4.2,10,https://maps.google.com/?cid=3823958352166544533,,4 hours 32 mins,
X,South West - Severn - DFT - Sep - 34,01/09/2021 00:00,12,DFT,Health Education England South West,Health Education England South West - Severn,-,,0,"Riverside Dental Practice, Butts Path, Braunton, Devon",,,Devon,5,3,https://maps.google.com/?cid=4408962182532998085,http://www.riversidepractice.co.uk/,5 hours 31 mins,
X,South West - Severn - DFT - Sep - 35,01/09/2021 00:00,12,DFT,Health Education England South West,Health Education England South West - Severn,-,,0,"Matford Dental Clinic, 1A The Venture Centre, Yeoford Way, Marsh Barton Business Centre, Exeter",,,Devon,5,11,https://maps.google.com/?cid=2256002275098909149,http://www.matforddental.co.uk/,3 hours 37 mins,
X,South West - Severn - DFT - Sep - 36,01/09/2021 00:00,12,DFT,Health Education England South West,Health Education England South West - Severn,-,,0,"Salisbury Villa Dental Surgery, 1 Salisbury Terrace, Teignmouth, Devon",,,Devon,4.9,30,https://maps.google.com/?cid=13770048802583252631,http://www.nhs.uk/Services/dentists/Overview/DefaultView.aspx?id=24252http://www.nhs.uk/Services/dentists/Overview/DefaultView.aspx?id=24252,3 hours 16 mins,
X,South West - Severn - DFT - Sep - 37,01/09/2021 00:00,12,DFT,Health Education England South West,Health Education England South West - Severn,-,,0,"Apollonia House Dental Practice, Elysian Field Vicarage Road, Sidmouth, Devon",,,Devon,4,1,https://maps.google.com/?cid=6674439638357433747,https://www.sidmouthdentalpractice.co.uk/,4 hours 24 mins,
X,South West - Severn - DFT - Sep - 38,01/09/2021 00:00,12,DFT,Health Education England South West,Health Education England South West - Severn,-,,0,"1A The Venture Centre, Yeoford Way, Exeter, Devon",,,Devon,5,11,https://maps.google.com/?cid=2256002275098909149,http://www.matforddental.co.uk/,3 hours 37 mins,
X,South West - Severn - DFT - Sep - 39,01/09/2021 00:00,12,DFT,Health Education England South West,Health Education England South West - Severn,-,,0,"Fairfield House Dental Surgery, 10 Salterton Road, Exmouth, Devon",,,Devon,4.9,41,https://maps.google.com/?cid=12881149476727583704,http://www.fairfieldhousedental.co.uk/,3 hours 40 mins,
X,South West - Severn - DFT - Sep - 49,01/09/2021 00:00,12,DFT,Health Education England South West,Health Education England South West - Severn,-,,0,"Mr Chris Simmons, Dunedin Dental Clinic, Unit 1A Silverdown Office Park, Exeter, Devon",,,Devon,4.6,50,https://maps.google.com/?cid=2713193476815787745,http://www.dunedinclinic.co.uk/,4 hours 5 mins,
X,South West - Severn - DFT - Sep - 53,01/09/2021 00:00,12,DFT,Health Education England South West,Health Education England South West - Severn,-,,0,"The Old Dispensary Dental Practice, 23 Queen Street, Dawlish, Devon",,,Devon,4.5,2,https://maps.google.com/?cid=9774097556737286714,,3 hours 16 mins,
X,South West - Severn - DFT - Sep - 56,01/09/2021 00:00,12,DFT,Health Education England South West,Health Education England South West - Severn,-,,0,"Castle View Dental Practice, 9 Park Hill, Tiverton, Devon",,,Devon,3.9,14,https://maps.google.com/?cid=15311638283612006682,,3 hours 7 mins,
X,South West - Severn - DFT - Sep - 61,01/09/2021 00:00,12,DFT,Health Education England South West,Health Education England South West - Severn,-,,0,"Mr Tim Hodges, Axminster Dental Practice, Weycroft Avenue, Axminster, Devon",,,Devon,4.9,54,https://maps.google.com/?cid=5248178010816870950,http://www.axminsterdentalpractice.co.uk/,3 hours 30 mins,
X,South West - Severn - DFT - Sep - 62,01/09/2021 00:00,12,DFT,Health Education England South West,Health Education England South West - Severn,-,,0,"Mr Justin Nuttall, Axminster Dental Practice, Weycroft Avenue, Axminster, Devon",,,Devon,4.9,54,https://maps.google.com/?cid=5248178010816870950,http://www.axminsterdentalpractice.co.uk/,3 hours 30 mins,
X,South West - Severn - DFT - Sep - 69,01/09/2021 00:00,12,DFT,Health Education England South West,Health Education England South West - Severn,-,,0,"Fauchard House, 53 North Hill, Plymouth, Devon",,,Devon,2.8,34,https://maps.google.com/?cid=8580781698842660052,http://www.fauchardhouse.co.uk/,3 hours 47 mins,
X,South West - Severn - DFT - Sep - 70,01/09/2021 00:00,12,DFT,Health Education England South West,Health Education England South West - Severn,-,,0,"Nuvo Dental and Implant Centre, Unit 23 Wolseley Business Park Wolseley Close, Plymouth, Devon",,,Devon,4.7,43,https://maps.google.com/?cid=9351140304990880912,https://www.plymouthdentists.co.uk/,4 hours 28 mins,
X,South West - Severn - DFT - Sep - 71,01/09/2021 00:00,12,DFT,Health Education England South West,Health Education England South West - Severn,-,,0,"Central Park Dental Practice Ltd, 15 Milehouse Road, Plymouth,",,,Devon,4.1,26,https://maps.google.com/?cid=5887192652694067410,http://www.centralparkdentist.co.uk/,4 hours 22 mins,
Dorset,,,,,,,,,,,,,,,,,,,
X,South West - Severn - DFT - Sep - 40,01/09/2021 00:00,12,DFT,Health Education England South West,Health Education England South West - Severn,-,,0,"East Street Dental Practice, 27 East Street, Blandford, Dorset",,,Dorset,3.4,7,https://maps.google.com/?cid=3937755392250944538,http://www.blandford-dental.co.uk/,3 hours 16 mins,
X,South West - Severn - DFT - Sep - 42,01/09/2021 00:00,12,DFT,Health Education England South West,Health Education England South West - Severn,-,,0,"Dental Centre Bournmouth, 11 The Triangle, Bournemouth, Dorset",,,Dorset,4.5,67,https://maps.google.com/?cid=3371993525867135168,http://www.dentistinbournemouth.com/,2 hours 35 mins,
X,South West - Severn - DFT - Sep - 44,01/09/2021 00:00,12,DFT,Health Education England South West,Health Education England South West - Severn,-,,0,"Dr Jessica Scott, Wessex House Dental Practice, Westbury, Sherborne, Dorset",,,Dorset,4.5,34,https://maps.google.com/?cid=16462082633438498119,http://www.wessex.house/,2 hours 36 mins,
X,South West - Severn - DFT - Sep - 45,01/09/2021 00:00,12,DFT,Health Education England South West,Health Education England South West - Severn,-,,0,"Wareham Dental Practice, 16 West Street, Wareham, Dorset",,,Dorset,4.6,25,https://maps.google.com/?cid=122463746773939908,http://www.nhs.uk/Services/dentists/Overview/DefaultView.aspx?id=25371,3 hours 0 mins,
X,South West - Severn - DFT - Sep - 48,01/09/2021 00:00,12,DFT,Health Education England South West,Health Education England South West - Severn,-,,0,"Fortuneswell Dental Practice, 84 Fortuneswell, Portland, Dorset",,,Dorset,4.8,5,https://maps.google.com/?cid=14565685584462922341,https://www.nhs.uk/Services/dentists/Overview/DefaultView.aspx?id=25363,4 hours 2 mins,
X,South West - Severn - DFT - Sep - 5,01/09/2021 00:00,12,DFT,Health Education England South West,Health Education England South West - Severn,-,,0,"Mr Paul Woodhouse & Miss Danielle Jones, Wessex House Dental Practice, Westbury, Sherborne, Dorset",,,Dorset,4.5,34,https://maps.google.com/?cid=16462082633438498119,http://www.wessex.house/,2 hours 36 mins,
X,South West - Severn - DFT - Sep - 50,01/09/2021 00:00,12,DFT,Health Education England South West,Health Education England South West - Severn,-,,0,"Bupa Dental Care, 1a Madeira Road, Poole, Dorset",,,Dorset,5,4,https://maps.google.com/?cid=14785099040579487474,https://www.bupa.co.uk/dental/dental-care/practices/poole?y_source=1_MTE2NzAxMTgtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,2 hours 33 mins,
X,South West - Severn - DFT - Sep - 55,01/09/2021 00:00,12,DFT,Health Education England South West,Health Education England South West - Severn,-,,0,"Corfe Mullen Dental Practice, 186 Wareham Road, Corfe Mullen, Wimborne",,,Dorset,4.2,23,https://maps.google.com/?cid=12381597282699272818,http://www.corfemullendental.com/,3 hours 19 mins,
Gloucester,,,,,,,,,,,,,,,,,,,
X,South West - Severn - Cheltenham/Gloucester - DFT - Sep - 16,01/09/2021 00:00,12,DFT,Health Education England South West,Health Education England South West - Severn,Cheltenham/Gloucester,,0,"Bupa Dental, 208 Painswick Road, Gloucester, Gloucestershire",,,Gloucester,3.8,20,https://maps.google.com/?cid=11428794444574226439,https://www.bupa.co.uk/dental/dental-care/practices/gloucester-painswick-road?y_source=1_MTMwNzc2MzEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,2 hours 58 mins,
X,South West - Severn - Cheltenham/Gloucester - DFT - Sep - 18,01/09/2021 00:00,12,DFT,Health Education England South West,Health Education England South West - Severn,Cheltenham/Gloucester,,0,"The Rodney Dental Practice, 31 Rodney Road, Cheltenham, Gloucester",,,Gloucester,4.4,12,https://maps.google.com/?cid=15203161163592392472,http://rodneydental.com/,2 hours 39 mins,
X,South West - Severn - Cheltenham/Gloucester - DFT - Sep - 20,01/09/2021 00:00,12,DFT,Health Education England South West,Health Education England South West - Severn,Cheltenham/Gloucester,,0,"Nelson Street Dental Practice, 17 Nelson Street, Stroud, Gloucester",,,Gloucester,5,6,https://maps.google.com/?cid=5573108588058889562,https://www.mydentist.co.uk/dentists/practices/england/south-west-england/stroud/17-18-nelson-street?utm_source=google&utm_medium=local&utm_content=752&utm_campaign=my-business,2 hours 3 mins,
X,South West - Severn - Cheltenham/Gloucester - DFT - Sep - 21,01/09/2021 00:00,12,DFT,Health Education England South West,Health Education England South West - Severn,Cheltenham/Gloucester,,0,"Oriel Villa Dental Surgery, 1 Oriel Villas Orial Road, Cheltenham, Gloucester",,,Gloucester,4.3,89,https://maps.google.com/?cid=14535162560585912131,http://orielvillasdental.com/,2 hours 37 mins,
X,South West - Severn - Cheltenham/Gloucester - DFT - Sep - 24,01/09/2021 00:00,12,DFT,Health Education England South West,Health Education England South West - Severn,Cheltenham/Gloucester,,0,"Bupa Dental Care Dursley, 40 Parsonage Street, Dursley, Gloucestershire",,,Gloucester,3.5,15,https://maps.google.com/?cid=10635388165912575389,https://www.bupa.co.uk/dental/dental-care/practices/dursley?y_source=1_MjEyOTkyMDItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,2 hours 33 mins,
X,South West - Severn - Cheltenham/Gloucester - DFT - Sep - 25,01/09/2021 00:00,12,DFT,Health Education England South West,Health Education England South West - Severn,Cheltenham/Gloucester,,0,"Quedgeley House Dental Practice, 39 42 Space Park Olympus Way, Quedgeley, Gloucestershire",,,Gloucester,3.3,33,https://maps.google.com/?cid=7522293918440766055,http://www.quedgeleydental.co.uk/,2 hours 50 mins,
Somerset,,,,,,,,,,,,,,,,,,,
X,South West - Severn - Taunton - DFT - Sep - 64,01/09/2021 00:00,24,DFT,Health Education England South West,Health Education England South West - Peninsula,Taunton,,0,"Parkfield Dental Surgery, 13 Parkfield Road, Taunton, Somerset.",,,"Longitudinal,Somerset  ",3.7,12,https://maps.google.com/?cid=15663250633328489027,,2 hours 31 mins,
X,South West - Severn - Somerset - DFT - Sep - 6,01/09/2021 00:00,12,DFT,Health Education England South West,Health Education England South West - Severn,Somerset,,0,"Grendon Lodge Dental Practice, 22 St Johns Road, Clevedon, North Somerset",,,North Somerset,4.4,10,https://maps.google.com/?cid=12515860085458568703,https://houstondentists.co.uk/,3 hours 13 mins,
X,South West - Severn - Somerset - DFT - Sep - 10,01/09/2021 00:00,12,DFT,Health Education England South West,Health Education England South West - Severn,Somerset,,0,"Mr Vinay Shah, Cheddar Dental Practice, Holmleigh The Barrows, Cheddar, Somerset",,,Somerset  ,5,9,https://maps.google.com/?cid=5544841135539261342,http://www.cheddardentalpractice.co.uk/,3 hours 57 mins,
X,South West - Severn - Somerset - DFT - Sep - 11,01/09/2021 00:00,12,DFT,Health Education England South West,Health Education England South West - Severn,Somerset,,0,"Mrs Jennifer Albiston, Church Street Dental Centre, 7A Church Street, Wincanton, Somerset",,,Somerset  ,5,6,https://maps.google.com/?cid=4734611376177172605,https://www.churchstreetdentalcentre.co.uk/,3 hours 31 mins,
X,South West - Severn - Somerset - DFT - Sep - 13,01/09/2021 00:00,12,DFT,Health Education England South West,Health Education England South West - Severn,Somerset,,0,"Mr Simon Albiston, Church Street Dental Centre, 7A Church Street, Wincanton, Somerset",,,Somerset  ,5,6,https://maps.google.com/?cid=4734611376177172605,https://www.churchstreetdentalcentre.co.uk/,3 hours 31 mins,
X,South West - Severn - Somerset - DFT - Sep - 57,01/09/2021 00:00,12,DFT,Health Education England South West,Health Education England South West - Severn,Somerset,,0,"North Petherton Dental Practice, 46 Fore Street, North Petherton, Somerset",,,Somerset  ,4.6,9,https://maps.google.com/?cid=2678813156507469481,http://www.northpethertondental.co.uk/,3 hours 22 mins,
X,South West - Severn - Somerset - DFT - Sep - 58,01/09/2021 00:00,12,DFT,Health Education England South West,Health Education England South West - Severn,Somerset,,0,"Houston Group, 162 Milton Road, Weston Super Mare, North Somerset,",,,Somerset  ,4,88,https://maps.google.com/?cid=11344293839360005256,https://houstondentists.co.uk/,2 hours 52 mins,
X,South West - Severn - Somerset - DFT - Sep - 59,01/09/2021 00:00,12,DFT,Health Education England South West,Health Education England South West - Severn,Somerset,,0,"Parkfield Dental, Berrow Health Campus Brent Road, Burnham on Sea, Somerset",,,Somerset  ,4.2,10,https://maps.google.com/?cid=18169183429350647325,,3 hours 30 mins,
X,South West - Severn - Somerset - DFT - Sep - 60,01/09/2021 00:00,12,DFT,Health Education England South West,Health Education England South West - Severn,Somerset,,0,"Quantock View Dental Centre, Bridgewater Road, North Petherton, Somerset",,,Somerset  ,4.1,13,https://maps.google.com/?cid=3356919827945660535,http://www.nhs.uk/Services/dentists/Overview/DefaultView.aspx?id=21162,3 hours 25 mins,
X,South West - Severn - Somerset - DFT - Sep - 63,01/09/2021 00:00,12,DFT,Health Education England South West,Health Education England South West - Severn,Somerset,,0,"Exmoor Dental Centre, 7 Bancks Street, Minehead, Somerset",,,Somerset  ,5,4,https://maps.google.com/?cid=6940046399564127983,,3 hours 44 mins,
X,South West - Severn - Somerset - DFT - Sep - 65,01/09/2021 00:00,12,DFT,Health Education England South West,Health Education England South West - Severn,Somerset,,0,"Dulverton Dental Practice, Oldberry House Fishers Mead, Dulverton, Somerset",,,Somerset  ,5,5,https://maps.google.com/?cid=12384057220778975665,,4 hours 1 min,
X,South West - Severn - Somerset - DFT - Sep - 7,01/09/2021 00:00,12,DFT,Health Education England South West,Health Education England South West - Severn,Somerset,,0,"Dr Amy Considine, Alliance Dental Care, 164 166 Milton Road, Weston Super Mare, Somerset",,,Somerset  ,4,88,https://maps.google.com/?cid=11344293839360005256,https://houstondentists.co.uk/,2 hours 52 mins,
X,South West - Severn - Somerset - DFT - Sep - 9,01/09/2021 00:00,12,DFT,Health Education England South West,Health Education England South West - Severn,Somerset,,0,"Mrs Lucy Parke, Cheddar Dental Practice, Holmleigh, The Barrows, Somerset",,,Somerset  ,5,9,https://maps.google.com/?cid=5544841135539261342,http://www.cheddardentalpractice.co.uk/,3 hours 57 mins,
Swindon,,,,,,,,,,,,,,,,,,,
X,South West - Severn - Swindon - DFT - Sep - 4,01/09/2021 00:00,12,DFT,Health Education England South West,Health Education England South West - Severn,Swindon,,0,"Wichelstowe Dental Care, Staldon Court, East Wichel, Swindon, Wiltshire",,,Swindon  ,5,1,https://maps.google.com/?cid=2311630027325748570,http://wichelstowedentalcare.co.uk/,1 hour 54 mins,
Wiltshire,,,,,,,,,,,,,,,,,,,
X,South West - Severn - DFT - Sep - 12,01/09/2021 00:00,12,DFT,Health Education England South West,Health Education England South West - Severn,-,,0,"Hathaway Dental Practice, 1st Floor Hathaway Medical Centre, Middlefield Road, Chippenham",,,Wiltshire,3.3,26,https://maps.google.com/?cid=12625118914263911801,http://www.drmichaelfrain.co.uk/contact-us/hathaway-dentist/,2 hours 1 min,
X,South West - Severn - DFT - Sep - 41,01/09/2021 00:00,12,DFT,Health Education England South West,Health Education England South West - Severn,-,,0,"Mr Alastair Hetherington, Savernake Forest Dental Practice, Salisbury Road, Marlborogh, Wiltshire",,,Wiltshire,4.9,39,https://maps.google.com/?cid=12265672678827780660,https://www.savernakedentistry.co.uk/,2 hours 24 mins,
X,South West - Severn - DFT - Sep - 43,01/09/2021 00:00,12,DFT,Health Education England South West,Health Education England South West - Severn,-,,0,"Mrs Judith Denning & Mr Karan Ghataaura, Savernake Forest Dental Prcatice, 1 Hertford Road, Marlborough, Wiltshire",,,Wiltshire,4.9,39,https://maps.google.com/?cid=12265672678827780660,https://www.savernakedentistry.co.uk/,2 hours 24 mins,
X,South West - Severn - DFT - Sep - 46,01/09/2021 00:00,12,DFT,Health Education England South West,Health Education England South West - Severn,-,,0,"Bupa Dental Care Warminster, 1 Station Road, Warminster, Wiltshire",,,Wiltshire,5,25,https://maps.google.com/?cid=17795220876412582780,https://www.bupa.co.uk/dental/dental-care/practices/warminster?y_source=1_MTE2NzAxOTctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,2 hours 26 mins,
X,South West - Severn - DFT - Sep - 47,01/09/2021 00:00,12,DFT,Health Education England South West,Health Education England South West - Severn,-,,0,"Sarum Dental Practice, 208 Castle Street, Salisbury, Wiltshire",,,Wiltshire,5,60,https://maps.google.com/?cid=15022065072550108753,https://sarumdental.com/,2 hours 8 mins,
X,South West - Severn - DFT - Sep - 51,01/09/2021 00:00,12,DFT,Health Education England South West,Health Education England South West - Severn,-,,0,"Hathaway Dental Practice, 2nd Floor Hathaway Medical Centre, Middlefield Road, Chippenham",,,Wiltshire,3.3,26,https://maps.google.com/?cid=12625118914263911801,http://www.drmichaelfrain.co.uk/contact-us/hathaway-dentist/,2 hours 1 min,
X,South West - Severn - DFT - Sep - 52,01/09/2021 00:00,12,DFT,Health Education England South West,Health Education England South West - Severn,-,,0,"Abbey Meads Dental Practice, Elstree Way, Swindon, Wiltshire",,,Wiltshire,3.2,37,https://maps.google.com/?cid=14322769746291965047,http://www.nhs.uk/Services/dentists/MapsAndDirections/DefaultView.aspx?id=28001,2 hours 4 mins,
